X,Y,Filename,Date and t,Camera man,Latitude,Longitude,GPS Direct,LIEN_PHOTO
4.586857,43.400691,rivages_1467470235998_photo_1.jpg,2016:07:02 16:37:17,,43.400691000000002,4.586857000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1467470235998_photo_1.jpg
4.915389,43.38935,rivages_1469695461627_photo_1.jpg,2016:07:28 10:44:23,,43.389350000000000,4.915389000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1469695461627_photo_1.jpg
4.676776,43.346441,rivages_1472304494027_photo_1.jpg,2016:08:27 15:28:15,,43.346440999999999,4.676776000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1472304494027_photo_1.jpg
4.680087,43.345807,rivages_1472304494027_photo_2.jpg,2016:08:27 15:28:16,,43.345807000000001,4.680087000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1472304494027_photo_2.jpg
4.681848,43.346426,rivages_1472304494027_photo_3.jpg,2016:08:27 15:28:17,,43.346426000000001,4.681848000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1472304494027_photo_3.jpg
4.69522,43.348373,rivages_1472305453041_photo_1.jpg,2016:08:27 15:44:13,,43.348373000000002,4.695220000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1472305453041_photo_1.jpg
9.402926,41.712078,rivages_1472468377478_photo_1.jpg,2016:08:29 12:59:38,,41.712077999999998,9.402926000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1472468377478_photo_1.jpg
8.936528,41.495325,rivages_1473084602493_photo_1.jpg,2016:09:05 16:10:03,,41.495325000000001,8.936527999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1473084602493_photo_1.jpg
9.268987,41.472294,rivages_1473345977514_photo_1.jpg,2016:09:08 16:46:18,,41.472293999999998,9.268986999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1473345977514_photo_1.jpg
9.404268,41.713147,rivages_1473428970222_photo_1.jpg,2016:09:09 15:49:31,,41.713146999999999,9.404268000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1473428970222_photo_1.jpg
9.402876,41.711926,rivages_1473428970222_photo_2.jpg,2016:09:09 15:49:32,,41.711925999999998,9.402875999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1473428970222_photo_2.jpg
9.402878,41.711957,rivages_1473428970222_photo_3.jpg,2016:09:09 15:49:33,,41.711956999999998,9.402877999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1473428970222_photo_3.jpg
9.45714,42.002616,rivages_1473522758417_photo_1.jpg,2016:09:10 17:52:39,,42.002616000000003,9.457140000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1473522758417_photo_1.jpg
9.454849,42.000302,rivages_1473522758417_photo_2.jpg,2016:09:10 17:52:40,,42.000301999999998,9.454848999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1473522758417_photo_2.jpg
5.172945,43.333856,rivages_1474013312412_photo_1.jpg,2016:09:16 10:08:19,WIKO FEVER,43.333855999999997,5.172945000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474013312412_photo_1.jpg
5.173786,43.334373,rivages_1474013395159_photo_1.jpg,2016:09:16 10:07:55,samsung,43.334372999999999,5.173786000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474013395159_photo_1.jpg
5.173531,43.334301,rivages_1474013492720_photo_1.jpg,2016:09:16 10:09:43,SAMSUNG SM-G386F,43.334301000000004,5.173531000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474013492720_photo_1.jpg
5.174048,43.33447,rivages_1474013560756_photo_1.jpg,2016:09:16 10:10:48,WIKO FEVER,43.334470000000003,5.174048000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474013560756_photo_1.jpg
5.175332,43.334512,rivages_1474013560756_photo_2.jpg,2016:09:16 10:12:29,WIKO FEVER,43.334511999999997,5.175332000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474013560756_photo_2.jpg
5.175262,43.334507,rivages_1474013988447_photo_1.jpg,2016:09:16 10:18:35,samsung,43.334507000000002,5.175262000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474013988447_photo_1.jpg
5.175594,43.334491,rivages_1474013988447_photo_2.jpg,2016:09:16 10:19:24,samsung,43.334491000000000,5.175594000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474013988447_photo_2.jpg
5.177541,43.333783,rivages_1474014670521_photo_1.jpg,2016:09:16 10:29:56,WIKO FEVER,43.333782999999997,5.177541000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474014670521_photo_1.jpg
5.176374,43.334164,rivages_1474014702924_photo_1.jpg,2016:09:16 10:27:47,Sony D5503,43.334164000000001,5.176374000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474014702924_photo_1.jpg
5.177104,43.33409,rivages_1474014702924_photo_2.jpg,2016:09:16 10:29:54,Sony D5503,43.334090000000003,5.177104000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474014702924_photo_2.jpg
5.177977,43.333568,rivages_1474014806043_photo_1.jpg,2016:09:16 10:33:09,samsung,43.333568000000000,5.177977000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474014806043_photo_1.jpg
-61.003079,14.478876,rivages_1474052108045_photo_1.jpg,2016:09:16 14:51:25,SAMSUNG SM-G357FZ,14.478876000000000,-61.003079000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474052108045_photo_1.jpg
-61.003206,14.478966,rivages_1474052108045_photo_2.jpg,2016:09:16 14:52:05,SAMSUNG SM-G357FZ,14.478966000000000,-61.003205999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474052108045_photo_2.jpg
-61.003924,14.479239,rivages_1474052108045_photo_3.jpg,2016:09:16 14:53:59,SAMSUNG SM-G357FZ,14.479239000000000,-61.003923999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474052108045_photo_3.jpg
-61.007926,14.4738,rivages_1474053814697_photo_1.jpg,2016:09:16 15:22:23,SAMSUNG SM-G357FZ,14.473800000000001,-61.007925999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474053814697_photo_1.jpg
5.050155,43.332136,rivages_1474210781461_photo_1.jpg,2016:09:18 16:56:45,SAMSUNG SM-G357FZ,43.332135999999998,5.050155000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474210781461_photo_1.jpg
5.051729,43.331343,rivages_1474210819028_photo_1.jpg,2016:09:18 16:59:43,SAMSUNG GT-S7275R,43.331342999999997,5.051729000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474210819028_photo_1.jpg
5.048631,43.332169,rivages_1474211183945_photo_1.jpg,2016:09:18 17:06:15,SAMSUNG GT-S7275R,43.332169000000000,5.048631000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474211183945_photo_1.jpg
5.043003,43.331658,rivages_1474213733568_photo_1.jpg,2016:09:18 17:48:46,SAMSUNG GT-S7275R,43.331657999999997,5.043003000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474213733568_photo_1.jpg
-61.081924,14.491744,rivages_1474288492239_photo_1.jpg,2016:09:19 08:26:07,SAMSUNG SM-G357FZ,14.491744000000001,-61.081924000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474288492239_photo_1.jpg
-61.081907,14.491775,rivages_1474288492239_photo_2.jpg,2016:09:19 08:26:21,SAMSUNG SM-G357FZ,14.491775000000001,-61.081907000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474288492239_photo_2.jpg
